"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CEPH-Rtrend_covid",0,0.829940445763413,263.887971014493,0.832281878068508,412,0.666666666666667,1,4
"CEPH-Rtrend_covid",1,0.74818711289957,390.824347826087,0.753661087866109,720.5,1,1,4
"CEPH-Rtrend_covid",2,0.792423422330543,437.784782608696,0.687370600414079,664,1,1,4
"CFA-EpiAutoGP",0,1.03338532086439,312.565743869565,1.1264963070442,533.205233333334,0,1,4
"CFA-EpiAutoGP",1,0.472182068332723,246.649863021739,0.375593933054393,359.0678,0.5,1,4
"CFA-EpiAutoGP",2,1.90762819634082,1053.89438486957,1.79659078674948,1735.5067,0,1,4
"CFA_Pyrenew-Pyrenew_HE_COVID",0,1.00923681658758,350.493863043478,0.823048955271187,501.666666666667,0.333333333333333,0.666666666666667,4
"CFA_Pyrenew-Pyrenew_HE_COVID",1,0.92886437584244,485.203243478261,0.83760460251046,800.75,0.5,1,4
"CFA_Pyrenew-Pyrenew_H_COVID",0,1.23044576827582,425.912320289855,1.08593493634476,575.833333333333,0.333333333333333,0.666666666666667,4
"CFA_Pyrenew-Pyrenew_H_COVID",1,1.55350219506814,811.490163043478,1.30491631799163,1247.5,0,0.5,4
"CMU-TimeSeries",0,0.968213176366451,295.56358374098,0.862989524389288,407.831363553064,1,1,4
"CMU-TimeSeries",1,0.799081921811955,417.409850513817,0.559541420196304,534.921597707667,1,1,4
"CMU-TimeSeries",2,0.841380722220542,464.831889351727,0.54975610228102,531.064394803466,1,1,4
"CovidHub-baseline",0,1,321.011686956522,1,511.333333333333,0.666666666666667,1,4
"CovidHub-baseline",1,1,522.361774331374,1,956,0,1,4
"CovidHub-baseline",2,1,552.463203726559,1,966,1,1,4
"CovidHub-ensemble",0,0.62963649062068,200.048662614257,0.55521026154761,272.82670930147,0.666666666666667,1,4
"CovidHub-ensemble",1,0.509906750691954,266.355795034995,0.490034171086726,468.47266755891,1,1,4
"CovidHub-ensemble",2,0.579404251486538,320.099529029042,0.0273312185402171,26.4019571098497,1,1,4
"NEU_ISI-AdaptiveEnsemble",0,1.22463976866945,270.819565217391,2.5834781242099,432,1,1,2
"OHT_JHU-nbxd",0,1.21831583160358,375.029888405797,1.33312374463314,637.35,0.333333333333333,1,5
"OHT_JHU-nbxd",1,1.36390308779478,712.450836956522,1.35778242677824,1298.04,0,1,5
"OHT_JHU-nbxd",2,2.13374512051819,1178.81566521739,2.16034161490683,2086.89,0,1,5
"UGA_flucast-INFLAenza",0,0.506538355997289,161.764622463768,0.465043448514695,237.666666666667,0.666666666666667,1,4
"UGA_flucast-INFLAenza",1,0.289293981330724,151.116117391304,0.175209205020921,167.5,1,1,4
"UGA_flucast-INFLAenza",2,0.384116827350753,212.210413043478,0.2851966873706,275.5,1,1,4
"UM-DeepOutbreak",0,1.92301888620701,600.247533057394,1.62256163856352,771.929016666666,0.666666666666667,1,4
"UM-DeepOutbreak",1,1.71806916650967,897.453658242014,1.02423202144351,979.1658125,0.5,1,4
"UM-DeepOutbreak",2,2.2471648097856,1241.47587011573,1.18920771221532,1148.77465,1,1,4
"UMass-ar6_pooled",0,0.724940071251197,232.455005309146,0.315327828981,299.321216748947,0.666666666666667,1,4
"UMass-ar6_pooled",1,0.549014931428994,286.784413715667,0.520955116800161,498.033091660954,1,1,4
"UMass-ar6_pooled",2,0.48114790232173,265.816511582976,0.230534250290158,222.696085780292,1,1,4
"UMass-gbqr",0,0.620837672123082,195.299858182967,0.640645400093942,308.398176941039,0.333333333333333,1,4
"UMass-gbqr",1,0.474310343931527,247.761592839797,0.51239847567199,489.852942742423,0.5,1,4
"UMass-gbqr",2,0.398353434499783,220.075614639228,0.419457108461771,405.19556677407,0,1,4
