"model_id","target_end_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CEPH-Rtrend_covid",2026-03-28,0.924344016324255,808.789130434783,0.858613589567605,1251,0,0,1
"CEPH-Rtrend_covid",2026-04-04,0.735747651942182,444.029782608696,0.832977588046958,780.5,0.5,1,2
"CEPH-Rtrend_covid",2026-04-11,0.566262038088413,292.478115942029,0.520543103924889,403.666666666667,0.666666666666667,1,3
"CEPH-Rtrend_covid",2026-04-18,0.511449010784081,247.93402173913,0.481569332532379,266.5,1,1,4
"CFA-EpiAutoGP",2026-03-28,1.55988227022049,1364.87693178261,1.10174371997255,1605.2406,0,0,1
"CFA-EpiAutoGP",2026-04-04,1.40356685015408,847.064182543478,1.16797289220918,1094.3906,0,0,2
"CFA-EpiAutoGP",2026-04-11,1.11072848310748,644.090179236232,1.1023818339503,868.041666666667,0.333333333333333,0.666666666666667,3
"CFA-EpiAutoGP",2026-04-18,0.80342179209059,516.08893798913,0.922260669636385,734.93845,0.5,0.75,4
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-03-28,1.19163249519149,1042.66311304348,0.79512697323267,1158.5,0,0,1
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-04-04,1.48032540713558,893.388605434783,1.23906083244397,1161,0,0,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-04-11,1.92315152872367,430.437560869565,2.57957954687934,692,0,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-04-18,1.38204953009726,229.614632608696,2.78647408913008,403,0,1,2
"CFA_Pyrenew-Pyrenew_H_COVID",2026-03-28,0.852707855687599,746.108410869565,0.685312285518188,998.5,0,0,1
"CFA_Pyrenew-Pyrenew_H_COVID",2026-04-04,0.945957437722407,570.893123913043,0.921291355389541,863.25,0,0.5,2
"CFA_Pyrenew-Pyrenew_H_COVID",2026-04-11,2.48059016575332,555.202834782609,2.89643541607695,777,0,0.5,2
"CFA_Pyrenew-Pyrenew_H_COVID",2026-04-18,1.46630744505725,243.613298913044,3.04230421641994,440,0,1,2
"CMU-TimeSeries",2026-03-28,0.906378443729288,793.069485388961,0.874072443420133,1273.52355006313,0,1,1
"CMU-TimeSeries",2026-04-04,0.910506128818722,549.497966287812,0.96511494924349,904.31270744115,0,1,2
"CMU-TimeSeries",2026-04-11,0.750552977965961,397.048024800912,0.834898267879763,619.231049597196,0.333333333333333,1,3
"CMU-TimeSeries",2026-04-18,0.651093617548051,340.39178335166,0.687007577976832,485.618919061782,0.75,1,4
"CovidHub-baseline",2026-03-28,1,874.987143478261,1,1457,0,1,1
"CovidHub-baseline",2026-04-04,1,603.508256447129,1,937,0.5,1,2
"CovidHub-baseline",2026-04-11,1,534.02686475122,1,806.333333333333,0.666666666666667,1,3
"CovidHub-baseline",2026-04-18,1,505.698166388338,1,705.75,0.75,1,4
"CovidHub-ensemble",2026-03-28,1.01257222857164,885.987681843314,0.858613589567605,1251,0,0,1
"CovidHub-ensemble",2026-04-04,0.961311223351368,580.159260307841,0.925395321895577,867.095416616156,0.5,0.5,2
"CovidHub-ensemble",2026-04-11,0.728700954361979,410.02379504414,0.751909048906259,602.549263053212,0.666666666666667,0.666666666666667,3
"CovidHub-ensemble",2026-04-18,0.64793200917221,358.759734573476,0.734595919718956,538.8105699875,0.75,1,4
"OHT_JHU-nbxd",2026-03-28,0.842957190680312,737.576704347826,0.756410432395333,1102.09,0,0,1
"OHT_JHU-nbxd",2026-04-04,1.36713117929002,825.074954347826,1.28246531483458,1201.67,0,0,2
"OHT_JHU-nbxd",2026-04-11,1.13462082298963,547.029944927536,1.2303613069186,822.31,0.333333333333333,0.666666666666667,3
"OHT_JHU-nbxd",2026-04-18,0.687612420005187,395.856006521739,0.755474401133988,594.49,0.5,0.75,4
"UGA_flucast-INFLAenza",2026-03-28,1.08283084437668,947.463067391304,0.827041866849691,1205,0,0,1
"UGA_flucast-INFLAenza",2026-04-04,0.867420303906402,523.495315217391,0.717716115261473,672.5,0.5,0.5,2
