"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-CovidCAT_Ensemble",0,0.970614859726217,20.6509368960444,1.32334576787569,31.8857537687727,0,0.5,5
"CADPH-CovidCAT_Ensemble",1,0.523086734047417,11.6858597953725,1.0588496137512,19.230887890242,0.333333333333333,1,5
"CADPH-CovidCAT_Ensemble",2,0.537126765571742,15.8969481040743,0.92070976920736,21.877867807889,0.5,1,5
"CADPH-CovidCAT_Ensemble",3,0.554921181712087,20.0497307704125,1.5856084645487,35.975864076762,0,1,5
"CEPH-Rtrend_covid",0,0.719590521393542,3.60923076923077,1.01171215961366,5.51923076923077,0.418269230769231,0.75,260
"CEPH-Rtrend_covid",1,0.631421078001944,4.21466276477146,1.01627446681545,5.93589743589744,0.58974358974359,0.903846153846154,260
"CEPH-Rtrend_covid",2,0.609341574739634,4.97944816053512,0.870557768363812,6.43269230769231,0.625,0.971153846153846,260
"CEPH-Rtrend_covid",3,0.563842870350779,5.42605351170569,0.658517835856566,6.53846153846154,0.653846153846154,0.961538461538462,260
"CFA-EpiAutoGP",0,0.76719592412683,4.01059558236891,1.12553258724611,6.43899431478472,0.381944444444444,0.888888888888889,144
"CFA-EpiAutoGP",1,0.725736489104994,4.83189257177462,1.31935558446009,7.55749070404653,0.375,0.847222222222222,144
"CFA-EpiAutoGP",2,0.811523691307479,6.68740140178585,1.52803037069139,10.4398470349896,0.333333333333333,0.864583333333333,144
"CFA-EpiAutoGP",3,0.929786861201581,8.97100159863435,1.67762551408288,13.8400714620833,0.354166666666667,0.8125,144
"CFA_Pyrenew-Pyrenew_HE_COVID",0,0.68950226864141,3.12457331063384,0.999298506541516,4.96385542168675,0.55421686746988,0.927710843373494,209
"CFA_Pyrenew-Pyrenew_HE_COVID",1,0.564846091368597,3.36424699964068,1.00894044279464,5.27272727272727,0.636363636363636,0.958677685950413,209
"CFA_Pyrenew-Pyrenew_H_COVID",0,0.738233825161283,3.50538272591645,1.03090501524472,5.32843137254902,0.588235294117647,0.965686274509804,255
"CFA_Pyrenew-Pyrenew_H_COVID",1,0.641446397945705,4.13569727195226,1.15362781255838,6.40522875816993,0.627450980392157,0.96078431372549,255
"CMU-TimeSeries",0,0.669058436150163,3.32171023121502,0.843158371967354,4.54789231838871,0.5,0.894230769230769,260
"CMU-TimeSeries",1,0.548733134696882,3.65387054314512,0.82969584191187,4.93620816384561,0.5,0.884615384615385,260
"CMU-TimeSeries",2,0.498851867825712,4.10051428549112,0.815544249675901,5.71232032552713,0.567307692307692,0.884615384615385,260
"CMU-TimeSeries",3,0.492422813841845,4.91315250640555,0.673337153820842,6.34807232115743,0.480769230769231,0.846153846153846,260
"CovidHub-baseline",0,1,5.03826048285953,1,5.25480769230769,0.942307692307692,1,260
"CovidHub-baseline",1,1,6.76421914747562,1,5.87820405447644,0.961538461538462,1,260
"CovidHub-baseline",2,1,8.32872015653957,1,7.07692512021274,1,1,260
"CovidHub-baseline",3,1,9.88592052674875,1,9.15384750001346,1,1,260
"CovidHub-ensemble",0,0.638937271056099,3.19799847723345,0.915865953513792,4.97094579765836,0.490384615384615,0.918269230769231,260
"CovidHub-ensemble",1,0.590228530304418,4.00418549512547,1.00564000349753,5.94894894773871,0.532051282051282,0.942307692307692,260
"CovidHub-ensemble",2,0.616124825228294,5.12793672091018,1.09108105567549,7.70194055202153,0.442307692307692,0.942307692307692,260
"CovidHub-ensemble",3,0.706020649770098,6.87143243738398,1.24011089765861,10.4632980114492,0.365384615384615,0.942307692307692,260
"Google_SAI-Ensemble",0,0.642707716189543,3.16654504250279,0.926766766803274,4.91159188034188,0.471153846153846,0.932692307692308,260
"Google_SAI-Ensemble",1,0.535684807611144,3.64299155673232,0.855312286972456,5.09793447293447,0.519230769230769,0.942307692307692,260
"Google_SAI-Ensemble",2,0.527875566596393,4.38777164390561,0.882789899022518,6.20726495726496,0.451923076923077,0.884615384615385,260
"Google_SAI-Ensemble",3,0.620386471259243,6.04342535767373,1.07786572531527,9.06303418803419,0.346153846153846,0.807692307692308,260
"OHT_JHU-nbxd",0,1.13728427355559,6.12065967809365,1.48591435507007,8.72783653846154,0.211538461538462,0.514423076923077,260
"OHT_JHU-nbxd",1,1.28297100966194,8.70238765328874,2.18717890934257,12.7144230769231,0.185897435897436,0.448717948717949,260
"OHT_JHU-nbxd",2,1.22892251453315,10.3282864130435,2.20484931438429,15.1754807692308,0.153846153846154,0.403846153846154,260
"OHT_JHU-nbxd",3,1.1832838551534,11.3985581939799,1.99668255367195,16.6196153846154,0.134615384615385,0.461538461538462,260
"UGA_flucast-INFLAenza",0,0.613704011233713,3.38453915133779,0.872351616496628,5.32692307692308,0.471153846153846,0.951923076923077,156
"UGA_flucast-INFLAenza",1,0.528027880195739,3.71454590301003,0.955672490270006,5.82692307692308,0.509615384615385,0.913461538461538,156
"UGA_flucast-INFLAenza",2,0.498941208562859,4.22439993729097,0.890635400303206,6.43269230769231,0.461538461538462,0.903846153846154,156
"UGA_flucast-INFLAenza",3,0.510248237536572,5.26166726588629,0.805290441719583,7.91346153846154,0.346153846153846,0.807692307692308,156
"UM-DeepOutbreak",0,1.27615526733307,7.02736490666717,1.8231367997316,11.4172450260852,0.692307692307692,1,52
"UM-DeepOutbreak",1,1.24310673741335,9.38557063675063,2.11961763703325,13.8433028875604,0.769230769230769,1,52
"UM-DeepOutbreak",2,1.44459335241496,11.894195790486,2.96562139337066,17.4794716657737,0.826923076923077,1,52
"UM-DeepOutbreak",3,1.73679037865649,16.5444650197127,3.30626496584244,27.189805830915,0.826923076923077,1,52
"UMass-ar6_pooled",0,0.816346892253966,4.10681659381408,1.08338162925761,5.81650228978402,0.658653846153846,0.980769230769231,260
"UMass-ar6_pooled",1,0.919723611979151,6.20583242229314,1.54239776657521,8.97807672053704,0.653846153846154,0.993589743589744,260
"UMass-ar6_pooled",2,1.13464429149146,9.31161281479055,2.20515054358876,14.9240778800755,0.548076923076923,1,260
"UMass-ar6_pooled",3,1.42892803308564,13.7732132261925,2.70607363807096,22.6312858809518,0.423076923076923,1,260
"UMass-gbqr",0,0.805975893263499,4.05045379636889,1.12673859490847,6.26106511191344,0.466346153846154,0.918269230769231,260
"UMass-gbqr",1,0.860853077789775,5.85383276691911,1.57628719702215,9.35620042175434,0.378205128205128,0.923076923076923,260
"UMass-gbqr",2,0.972460047663273,8.22896227037528,1.87010425781286,13.321586439055,0.298076923076923,0.894230769230769,260
"UMass-gbqr",3,1.32224830550618,13.0353927792454,2.52162488437566,21.7137385415552,0.211538461538462,0.826923076923077,260
