"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CEPH-Rtrend_covid",0,1.02716434300003,11.2379331103679,1.16555105256844,16.8076923076923,0.296153846153846,0.769230769230769,260
"CEPH-Rtrend_covid",1,1.03205905337922,14.3443160535117,1.29695310355788,21.5423076923077,0.419230769230769,0.861538461538462,260
"CEPH-Rtrend_covid",2,1.11436369766688,19.1879515050167,1.36012951631607,28.1346153846154,0.419230769230769,0.853846153846154,260
"CEPH-Rtrend_covid",3,1.27536588300233,25.2923946488294,1.53455797566665,36.1,0.369230769230769,0.784615384615385,260
"CFA_Pyrenew-PyrenewHEW_COVID",0,0.744180540615486,6.2014790675417,0.890715780413513,9.69182389937107,0.522012578616352,0.937106918238994,159
"CFA_Pyrenew-PyrenewHEW_COVID",1,0.715300172048803,7.68109748427673,0.924469683178088,11.9591194968553,0.534591194968553,0.962264150943396,159
"CFA_Pyrenew-Pyrenew_HE_COVID",0,0.737109303006429,8.48066234250222,0.899342775476906,13.5673469387755,0.510204081632653,0.922448979591837,245
"CFA_Pyrenew-Pyrenew_HE_COVID",1,0.699480507027991,9.92485559893523,0.883941156929191,14.8938775510204,0.530612244897959,0.946938775510204,245
"CFA_Pyrenew-Pyrenew_HW_COVID",0,0.845741214687841,7.68411849120083,0.954554423871004,11.2113095238095,0.547619047619048,0.952380952380952,168
"CFA_Pyrenew-Pyrenew_HW_COVID",1,0.92551282223835,10.7111439182195,1.06345584964583,14.7559523809524,0.613095238095238,0.958333333333333,168
"CFA_Pyrenew-Pyrenew_H_COVID",0,0.96770617698129,10.5718237355812,1.15425715170892,16.5163265306122,0.46530612244898,0.938775510204082,245
"CFA_Pyrenew-Pyrenew_H_COVID",1,0.958577519673456,13.1820256521739,1.20979760647649,19.7877551020408,0.56734693877551,0.951020408163265,245
"CMU-TimeSeries",0,0.879682622914047,9.67721408079174,1.0516149078297,14.9705123900756,0.438461538461538,0.961538461538462,260
"CMU-TimeSeries",1,0.822967938155142,11.4138101552314,1.10428236769218,18.1877769695743,0.415384615384615,0.946153846153846,260
"CMU-TimeSeries",2,0.753984262567624,13.0220559858148,1.00038348196505,20.7371829306896,0.438461538461538,0.930769230769231,260
"CMU-TimeSeries",3,0.753610829944661,14.9551941846914,0.998617120387397,23.443980777066,0.488461538461538,0.930769230769231,260
"CMU-climate_baseline",0,2.4254275920191,26.9999338294314,2.05942135112487,30.0769230769231,0.688461538461538,0.992307692307692,260
"CMU-climate_baseline",1,1.79161341381633,25.2217974080267,1.62352336086686,27.5711538461538,0.692307692307692,0.992307692307692,260
