"model_id","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"CEPH-Rtrend_covid",0.950644415257634,0.797780335224288,954.411748823041,0.170402713419637,1.21461222218228,1.26703927094102,1581.04777070064,0.274619983143392,0.506369426751592,0.971337579617834,324
"CFA-EpiAutoGP",1.15955377640519,0.805293405542946,971.198317221245,0.181176643451094,1.31204649542155,1.21456798472569,1409.18093901515,0.268842580401997,0.340909090909091,0.772727272727273,132
"CFA_Pyrenew-Pyrenew_HE_COVID",0.629264486930385,0.480878419933648,389.612555925926,0.0843134966676902,0.743331821470863,0.731202010465141,596.955555555556,0.1312094442579,0.407407407407407,0.881481481481482,138
"CFA_Pyrenew-Pyrenew_H_COVID",1.20649765190069,1.00639134456669,765.800526787277,0.156921718471462,1.44032631947432,1.51863385696612,1212.12416107383,0.246307072780688,0.161073825503356,0.751677852348993,152
"CMU-TimeSeries",0.950279360435856,0.690536848442713,1028.40707170505,0.163932170505343,1.05645913411067,0.962613326488215,1529.51978262787,0.240437648986755,0.656441717791411,0.996932515337423,336
"CMU-climate_baseline",1.86793285926988,1.24208033398335,2424.30580330044,0.243897961399702,2.41470784974757,1.99617303571802,4185.73964788337,0.408925354099602,0.464285714285714,1,168
"CovidHub-baseline",1,1,1030.98344806535,0.24372017952173,1,1,1374.17924528302,0.237247617773444,0.606918238993711,0.893081761006289,328
"CovidHub-ensemble",0.73915575443618,0.57178908177498,750.734353845612,0.12480855843235,0.913799518285167,0.870068316376568,1213.08962770796,0.194675242222903,0.569182389937107,0.974842767295597,328
"Google_SAI-Ensemble",1.03306708108742,1.15870407055542,726.90321489976,0.225343653857162,1.05634804009068,1.43460362502769,920.203140132142,0.279448216626073,0.1875,0.46875,32
"JHU_CSSE-CSSE_Ensemble",0.824673418615707,0.661284946301786,1063.65091701311,0.116596259192657,0.968901518776662,0.914614130831148,1640.61799699021,0.167738710132688,0.71875,1,64
"MOBS-GLEAM_COVID",1.46496314535241,1.47117602632296,1649.03611602699,0.278825441182067,1.7168307129368,2.19938715416404,2476.35288793103,0.425968187181294,0.155172413793103,0.672413793103448,116
"Metaculus-cp",0.999142780164842,0.917637925032475,1393.4263628922,0.143734844492365,0.979833568177243,1.29982583194818,1832.39305267686,0.215204840353554,0.666666666666667,1,42
"NEU_ISI-AdaptiveEnsemble",0.782905125447027,0.719590484122299,1076.35592391304,0.157699888983603,0.940442189129083,1.05178369669972,1721.08522727273,0.245551595961973,0.323863636363636,0.846590909090909,176
"OHT_JHU-nbxd",0.855894950794283,0.668650625033571,865.758697250216,0.144837107760465,1.03035583045474,1.02394547863204,1373.48182119205,0.230212639007637,0.480132450331126,0.940397350993378,312
"UGA_flucast-INFLAenza",0.607257706304125,0.4331451620363,488.456116550968,0.0973684287763525,0.73281874877794,0.656894767443789,777.376050420168,0.152209485465491,0.453781512605042,0.890756302521008,248
"UM-DeepOutbreak",1.23984472008197,1.89225854766531,1343.14571332476,0.38326673896884,1.2846349834421,1.50678343362153,1832.16909318529,0.313685094124945,0.720588235294118,0.950980392156863,204
"UMass-ar6_pooled",0.83976447845037,0.630301742795728,853.407233708541,0.14852647433699,0.966981035502076,0.919423165089973,1297.25278104427,0.225069627738531,0.541095890410959,0.883561643835616,298
"UMass-gbqr",1.02220464570661,0.78581719683384,1007.81634829839,0.173678300626169,1.18370915542873,1.18914056405872,1522.83493997051,0.273004306128575,0.328767123287671,0.876712328767123,298
