"model_id","target_end_date","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_COVID",2026-03-07,0.000134054047569696,0.00025014540487896,0,1,1
"CFA_Pyrenew-Pyrenew_E_COVID",2026-03-14,0.000179724224417,0.000202985630907392,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-03-21,0.00030096735428836,0.000505306615208562,0,0.5,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-03-28,0.000380247121928679,0.000639451284202362,0,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-03-14,0.00019379988796807,0.000184987761646371,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-03-21,0.000310542671401804,0.000505951117646426,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-03-07,0.000175350320074553,0.000340745997956376,0,1,1
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-03-28,0.000285915283798499,0.000516722945954875,0,1,2
"CMU-TimeSeries",2026-03-07,0.000156438453109573,2.89587090499767e-05,1,1,1
"CMU-TimeSeries",2026-03-14,0.000275408777627047,0.000439309454116239,1,1,2
"CMU-TimeSeries",2026-03-21,0.000397815329732278,0.000666656935821398,0.333333333333333,1,3
"CMU-TimeSeries",2026-03-28,0.000453657401185522,0.000720379437436676,0.25,1,4
"CovidHub-baseline",2026-03-07,0.00034004347826087,0.000300000000000001,1,1,1
"CovidHub-baseline",2026-03-14,0.000555758424872292,0.00085,1,1,2
"CovidHub-baseline",2026-03-21,0.000697992086912174,0.00113333333333333,1,1,3
"CovidHub-baseline",2026-03-28,0.000766764812481277,0.0012,1,1,4
"CovidHub-ensemble",2026-03-14,0.00022050869219654,0.000212345176046257,1,1,2
"CovidHub-ensemble",2026-03-21,0.000311819124109023,0.000457061998039415,1,1,3
"CovidHub-ensemble",2026-03-28,0.000312782417882834,0.000443129338088967,0.5,1,4
"CovidHub-ensemble",2026-03-07,0.000191066584217103,0.000211033525431168,1,1,1
"UGA_flucast-INFLAenza",2026-03-07,0.000230405639936785,0.000211033525431168,1,1,1
"UGA_flucast-INFLAenza",2026-03-14,0.000224822805506205,0.00012771802659438,1,1,2
"UGA_flucast-INFLAenza",2026-03-21,0.0002329334469605,0.00024494986699214,1,1,3
"UGA_flucast-INFLAenza",2026-03-28,0.000229596995374566,0.000243244153656812,1,1,4
