"model_id","horizon","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_COVID",0,0.715812726564299,0.715307357336019,0.00042430249462179,0.000421569913404454,0.787994827511456,0.787855244902867,0.00066743048101669,0.000663169914320999,0.49738219895288,0.952879581151832,191
"CFA_Pyrenew-Pyrenew_E_COVID",1,1.07184055561026,1.06892696728536,0.000947365841149042,0.000939262597135022,1.11707521752069,1.11470452142587,0.00147586915068753,0.00146370657435369,0.409722222222222,0.923611111111111,191
"CFA_Pyrenew-Pyrenew_E_COVID",2,1.47105574507999,1.46265573621434,0.00148529451216835,0.00146921103767929,1.47420759270704,1.46667206733614,0.00226902442440605,0.00224574133646524,0.489583333333333,0.9375,191
"CFA_Pyrenew-Pyrenew_HE_COVID",0,0.719507018088126,0.719067999588402,0.000426288944565322,0.000423562915277132,0.787986410269491,0.787948469938273,0.000665954777494966,0.00066174967545854,0.470899470899471,0.925925925925926,189
"CFA_Pyrenew-Pyrenew_HE_COVID",1,1.06815444783554,1.06525082981007,0.000942691273500121,0.000934550297120861,1.103771455347,1.10142718695112,0.00145566510861623,0.00144354515681084,0.429577464788732,0.915492957746479,189
"CFA_Pyrenew-Pyrenew_HE_COVID",2,1.42996540265478,1.42181188882744,0.00145605044388324,0.00144023120968798,1.42191528811873,1.41462734341644,0.00220829428126335,0.00218550695393659,0.526315789473684,0.957894736842105,189
"CMU-TimeSeries",0,0.724453259117745,0.723858262212292,0.000438630119620728,0.000435786491416574,0.804427396667972,0.804125332605366,0.000692280395572634,0.00068778374288083,0.446078431372549,0.955882352941177,255
"CMU-TimeSeries",1,0.869098776012178,0.867208010991211,0.000773401474895681,0.000767311345980833,0.90286660811285,0.901331329939431,0.0012008023510901,0.00119159611235129,0.470588235294118,0.967320261437909,255
"CMU-TimeSeries",2,0.878725220714936,0.87679485907097,0.000915889426039937,0.000909257993092157,0.958673211997687,0.956745429599068,0.00152469689025695,0.00151385838437306,0.411764705882353,0.96078431372549,255
"CMU-TimeSeries",3,0.778775957395463,0.778259508620874,0.000911265737470746,0.000906347796308741,0.83483216213334,0.834417091354272,0.00155671644350746,0.00154833805263866,0.509803921568627,0.980392156862745,255
"CovidHub-baseline",0,1,1,0.000597677900253683,0.000594271346239386,1,1,0.000845098039215686,0.000839886816946657,0.651960784313726,1,255
"CovidHub-baseline",1,1,1,0.000900881399015212,0.000895626718936631,1,1,0.00133986928104575,0.00133168368421951,0.745098039215686,1,255
"CovidHub-baseline",2,1,1,0.00106435607881684,0.00105870741450227,1,1,0.00163039215686275,0.00162161520740692,0.774509803921569,1,255
"CovidHub-baseline",3,1,1,0.00117012566812974,0.00116458300382972,1,1,0.00186470588235294,0.00185559244732833,0.803921568627451,1,255
"CovidHub-ensemble",0,0.590035941998955,0.589770743160962,0.000352646173906042,0.00035049316842963,0.660019424623973,0.660032179450256,0.000561883220334847,0.000558452503870889,0.529411764705882,0.990196078431373,255
"CovidHub-ensemble",1,0.687329892942381,0.686482570381355,0.000612352884216695,0.000608058772372671,0.734313709645409,0.733748632954682,0.000979365672743414,0.000972658145382042,0.529411764705882,0.993464052287582,255
"CovidHub-ensemble",2,0.805196132416973,0.803209085210541,0.000834305090837702,0.000827992767166027,0.862458388749249,0.860555687801137,0.00135347886065652,0.00134352888251211,0.509803921568627,0.980392156862745,255
"CovidHub-ensemble",3,0.778775957395463,0.778259508620874,0.000911265737470746,0.000906347796308741,0.83483216213334,0.834417091354272,0.00155671644350746,0.00154833805263866,0.509803921568627,0.980392156862745,255
"UGA_flucast-INFLAenza",0,0.634918792029213,0.634500068313785,0.000372379329215838,0.000369937434665409,0.718784358137778,0.718514242255561,0.00059683993981425,0.000592809158755894,0.62,0.99,150
"UGA_flucast-INFLAenza",1,0.613656632039143,0.613249480436443,0.000549994859706249,0.000546398750492522,0.670953009340075,0.670755783972737,0.00088674791592307,0.000880982814561223,0.51,0.95,150
"UGA_flucast-INFLAenza",2,0.566732549655686,0.56653715777808,0.000634298246132934,0.000630439783577911,0.581076430085683,0.581081408233272,0.000963169182006917,0.0009576267001402,0.54,0.92,150
