"model_id","horizon","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-PyrenewHEW_COVID",0,0.000655820453049952,0.00100625725092301,0.48306148055207,0.913425345043915,815
"CFA_Pyrenew-PyrenewHEW_COVID",1,0.00120107900196209,0.00187640839602057,0.460476787954831,0.94228356336261,815
"CFA_Pyrenew-Pyrenew_E_COVID",0,0.00056346902268588,0.000879900330745901,0.488521089161773,0.93166043780032,1961
"CFA_Pyrenew-Pyrenew_E_COVID",1,0.00106122940175256,0.00166831603277675,0.467397260273973,0.936986301369863,1961
"CFA_Pyrenew-Pyrenew_HE_COVID",0,0.000598017403844558,0.000930734105137314,0.467149220489978,0.926503340757238,1881
"CFA_Pyrenew-Pyrenew_HE_COVID",1,0.00111452554443761,0.00174070822506088,0.476870359794403,0.939463163906339,1882
"CMU-TimeSeries",0,0.000808023021395505,0.00123369455923166,0.41889007470651,0.914087513340448,1923
"CMU-TimeSeries",1,0.001280957118162,0.00198364181155675,0.402191780821918,0.891506849315069,1923
"CMU-TimeSeries",2,0.00177511725348481,0.00276100027868102,0.38795045045045,0.864301801801802,1923
"CMU-TimeSeries",3,0.00226761795323911,0.00347339461426059,0.395483497394325,0.811233352634626,1923
"CovidHub-baseline",0,0.00086993903520945,0.00124778378378378,0.661081081081081,0.982702702702703,1900
"CovidHub-baseline",1,0.00135529072996754,0.00200622222222222,0.67,0.974444444444444,1900
"CovidHub-baseline",2,0.0018034179658058,0.00275954233242332,0.623428571428571,0.965142857142857,1900
"CovidHub-baseline",3,0.00219744516671427,0.00343682322837934,0.587058823529412,0.958823529411765,1900
"CovidHub-ensemble",0,0.000430357790823872,0.000663575388044406,0.571428571428571,0.968112244897959,850
"CovidHub-ensemble",1,0.000593655250640728,0.000914692924767369,0.531972789115646,0.951020408163265,850
"CovidHub-ensemble",2,0.000727159275471389,0.00110231099045478,0.526239067055394,0.918367346938776,833
"CovidHub-ensemble",3,0.000865901533283474,0.00126586423208298,0.519623233908948,0.879120879120879,833
"UGA_flucast-INFLAenza",0,0.000634249610053885,0.000980997232713563,0.523409363745498,0.944777911164466,1715
"UGA_flucast-INFLAenza",1,0.000883316531733328,0.00137500449070844,0.486703772418058,0.918985776128633,1715
"UGA_flucast-INFLAenza",2,0.0011192378547794,0.00172803318405808,0.450255102040816,0.910714285714286,1715
"UGA_flucast-INFLAenza",3,0.00131297590383962,0.00202253121015044,0.447004608294931,0.883475971033575,1715
